time;gFx;gFy;gFz;TgF
0.476626042;-0,2117;-0,0418;0,6796;0,713
0.480080208;-0,2437;-0,0455;0,6725;0,717
0.488717188;-0,2842;-0,0373;0,6522;0,712
0.490307813;-0,3181;-0,0181;0,6394;0,714
0.491730208;-0,3613;0,0118;0,6521;0,746
0.495993229;-0,4164;0,0570;0,7031;0,819
0.5012125;-0,4498;0,0988;0,7482;0,879
0.504816667;-0,4710;0,1320;0,7680;0,911
0.507626563;-0,5013;0,1598;0,7928;0,951
0.511499479;-0,5214;0,1731;0,8209;0,988
0.5157375;-0,5393;0,1762;0,8353;1,010
0.520084375;-0,5538;0,1714;0,8443;1,024
0.523432813;-0,5613;0,1664;0,8373;1,022
0.527372396;-0,5526;0,1622;0,8024;0,988
0.531384896;-0,5319;0,1519;0,7665;0,945
0.537744271;-0,4957;0,1276;0,7173;0,881
0.53989375;-0,4400;0,0883;0,6272;0,771
0.543142188;-0,4424;0,0660;0,6080;0,755
0.548290104;-0,4321;0,0500;0,6164;0,754
0.552433333;-0,4140;0,0397;0,6254;0,751
0.555230208;-0,4191;0,0370;0,6443;0,770
0.559100521;-0,4359;0,0338;0,6777;0,806
0.565029167;-0,4543;0,0261;0,7179;0,850
0.569359375;-0,4680;0,0178;0,7560;0,889
0.571519271;-0,4848;0,0068;0,7989;0,935
0.575163542;-0,4993;-0,0043;0,8377;0,975
0.579115104;-0,4899;-0,0067;0,8487;0,980
0.583606771;-0,4671;-0,0094;0,8483;0,968
0.586921875;-0,4438;-0,0094;0,8369;0,947
0.590895833;-0,4260;-0,0143;0,8145;0,919
0.594779167;-0,4134;-0,0233;0,7896;0,892
0.598639583;-0,4020;-0,0347;0,7546;0,856
0.604940625;-0,4055;-0,0519;0,7247;0,832
0.607298958;-0,4155;-0,0700;0,6974;0,815
0.610766146;-0,4099;-0,0913;0,6376;0,763
0.615589583;-0,4197;-0,0995;0,6312;0,764
0.622339583;-0,4720;-0,0976;0,6986;0,849
0.624204688;-0,5319;-0,0807;0,8180;0,979
0.626622396;-0,5352;-0,0592;0,9069;1,055
0.631036979;-0,5207;-0,0420;0,9888;1,118
0.635901042;-0,4394;-0,0210;1,0326;1,122
0.638475;-0,3510;-0,0029;1,0665;1,123
0.647083854;-0,2743;0,0173;1,1001;1,134
0.648711979;-0,2055;0,0386;1,1133;1,133
0.651908333;-0,1536;0,0517;1,1070;1,119
0.654397396;-0,1033;0,0556;1,1223;1,128
0.658256771;-0,0477;0,0529;1,1824;1,185
0.669813021;-0,0097;0,0440;1,2039;1,205
0.672146354;0,0166;0,0201;1,2201;1,220
0.672840104;0,0350;-0,0189;1,2307;1,231
0.673996354;0,0495;-0,0445;1,1964;1,198
0.677988021;0,0633;-0,0650;1,1343;1,138
0.682805208;0,0794;-0,0989;1,0203;1,028
0.685782292;0,0790;-0,1006;0,9268;0,936
0.689892188;0,0671;-0,0896;0,8358;0,843
0.693832813;0,0410;-0,0652;0,7538;0,758
0.698720313;0,0232;-0,0420;0,7066;0,708
0.704396354;0,0159;-0,0252;0,6787;0,679
0.705680208;0,0237;-0,0096;0,6634;0,664
0.709591146;0,0358;-0,0016;0,6701;0,671
0.713814583;0,0413;0,0051;0,7020;0,703
0.719217708;0,0370;0,0153;0,7961;0,797
0.72376875;0,0342;0,0285;0,9227;0,924
0.728327083;0,0699;0,0570;1,0918;1,096
0.729497917;0,1400;0,0915;1,2475;1,259
0.734714063;0,2310;0,1252;1,4049;1,429
0.737620833;0,3395;0,1564;1,5582;1,602
0.742136979;0,4213;0,1760;1,6390;1,701
0.745279167;0,4728;0,1904;1,6737;1,750
0.754030729;0,4800;0,1677;1,6678;1,744
0.755480208;0,4047;0,1130;1,5570;1,613
0.757872396;0,2704;0,0305;1,4614;1,487
0.76155625;0,1321;-0,0853;1,3337;1,343
0.765200521;0,0513;-0,1742;1,2238;1,237
0.769272917;-0,0062;-0,2310;1,1334;1,157
0.773167708;-0,0662;-0,2611;1,0722;1,106
0.777423958;-0,1204;-0,2538;1,0334;1,071
0.785103646;-0,1601;-0,2295;1,0138;1,052
0.788290104;-0,1892;-0,2030;1,0077;1,045
0.789881771;-0,1998;-0,1849;1,0159;1,052
0.793159375;-0,2054;-0,1753;1,0407;1,075
0.797218229;-0,2108;-0,1715;1,0828;1,116
0.803849479;-0,2139;-0,1760;1,1119;1,146
0.804908333;-0,2009;-0,2306;1,0352;1,079
0.8089375;-0,1887;-0,2219;1,1134;1,151
0.813520833;-0,1741;-0,1791;1,2086;1,234
0.819229167;-0,1496;-0,1346;1,2755;1,291
0.821001563;-0,1133;-0,0911;1,3342;1,342
0.824830729;-0,0788;-0,0589;1,3855;1,389
0.828813542;-0,0361;-0,0326;1,4347;1,435
0.834680208;0,0175;-0,0090;1,4976;1,498
0.836860938;0,0580;0,0032;1,5499;1,551
0.840808333;0,0801;0,0077;1,5958;1,598
0.844548958;0,0815;0,0046;1,6191;1,621
0.849277604;0,0632;-0,0017;1,6052;1,606
0.853301563;0,0319;-0,0065;1,5774;1,578
0.856735938;-0,0119;-0,0018;1,5400;1,540
0.860821354;-0,0454;0,0092;1,5150;1,516
0.864842188;-0,0648;0,0246;1,4932;1,495
0.870192188;-0,0755;0,0424;1,4819;1,484
0.876016667;-0,0806;0,0510;1,5618;1,565
0.8782125;-0,0614;0,0666;1,6761;1,678
0.889815625;-0,0454;0,0888;1,5566;1,560
0.891395313;-0,0449;0,1111;1,4076;1,413
0.89225;-0,0394;0,1364;1,3645;1,372
0.892902083;-0,0142;0,1777;1,3434;1,355
0.896428125;0,0324;0,2246;1,3008;1,320
0.905511979;0,1018;0,2749;1,2779;1,311
0.906674479;0,1791;0,3298;1,3064;1,359
0.908276042;0,2319;0,3681;1,3688;1,436
0.912135417;0,2747;0,3984;1,4450;1,524
0.917996875;0,3026;0,4114;1,4940;1,579
0.920227604;0,3208;0,4127;1,5321;1,619
0.924089063;0,3251;0,4037;1,5589;1,643
0.931282292;0,3157;0,3926;1,5695;1,648
0.934727083;0,2892;0,3841;1,5750;1,647
0.937246875;0,2438;0,3693;1,5767;1,638
0.940076042;0,1930;0,3475;1,5643;1,614
0.945121354;0,1593;0,3077;1,5125;1,552
0.949264583;0,0927;0,2670;1,4410;1,468
0.95301875;0,0143;0,2450;1,3806;1,402
0.956365104;-0,0471;0,2271;1,3120;1,332
0.961829167;-0,1037;0,2078;1,2317;1,253
0.964178646;-0,1454;0,1917;1,1819;1,206
0.968494271;-0,1751;0,1769;1,1422;1,169
0.972706771;-0,1881;0,1594;1,1030;1,130
0.976348438;-0,1874;0,1480;1,0806;1,107
0.980453646;-0,1926;0,1111;1,0368;1,060
0.985636458;-0,1786;0,1063;1,0329;1,054
0.990229167;-0,1515;0,1192;1,0376;1,055
0.991854688;-0,1210;0,1375;1,0470;1,063
0.995995833;-0,0969;0,1544;1,0579;1,074
1.001833333;-0,0891;0,1566;1,0653;1,080
1.004998958;-0,0987;0,1464;1,0626;1,077
1.007834375;-0,1290;0,1215;1,0287;1,044
1.011613021;-0,1557;0,1012;0,9721;0,990
1.019216667;-0,1805;0,0877;0,9180;0,940
1.021681771;-0,2121;0,0822;0,8766;0,906
1.023633854;-0,2356;0,0880;0,8550;0,891
1.027648438;-0,2446;0,1079;0,8348;0,877
1.032350521;-0,2349;0,1457;0,8118;0,858
1.036826563;-0,2212;0,1848;0,7728;0,825
1.043918229;-0,2188;0,2296;0,7131;0,780
1.044499479;-0,2438;0,2834;0,6070;0,713
1.047298438;-0,2661;0,3217;0,4682;0,627
1.0523625;-0,2750;0,3632;0,2756;0,532
1.061211979;-0,3361;0,4259;0,1216;0,556
1.062552083;-0,4133;0,4625;0,0748;0,625
1.063971354;-0,4733;0,4867;0,0783;0,683
1.06886875;-0,5199;0,4951;0,0994;0,725
1.071357292;-0,5603;0,4810;0,1242;0,749
1.075377083;-0,6123;0,4443;0,1691;0,775
1.079291146;-0,6619;0,3837;0,2581;0,807
1.084385938;-0,6843;0,3204;0,5033;0,908
1.087208854;-0,6801;0,2654;0,7243;1,028
1.091341146;-0,7140;0,2150;0,7374;1,049
1.094998958;-0,7520;0,1686;0,8083;1,117
1.102709375;-0,7555;0,1256;0,8970;1,179
1.104401042;-0,7002;0,1110;0,9572;1,191
1.10723125;-0,6429;0,1133;0,9704;1,170
1.11065;-0,6020;0,1219;0,9452;1,127
1.115340104;-0,5691;0,1355;0,8976;1,071
1.122190625;-0,5429;0,1299;0,8289;0,999
1.12328125;-0,4456;0,0829;0,7138;0,846
1.127713542;-0,4078;0,0940;0,6948;0,811
1.135971354;-0,4347;0,1499;0,7470;0,877
1.138163021;-0,4717;0,2158;0,7965;0,951
1.139801042;-0,4622;0,2521;0,8021;0,959
1.142575;-0,4184;0,2732;0,7840;0,930
1.146914583;-0,3643;0,2823;0,7380;0,870
1.151221354;-0,3422;0,2928;0,6906;0,824
1.154572917;-0,3458;0,3058;0,6545;0,801
1.15866875;-0,3680;0,3183;0,6283;0,795
1.162555729;-0,3813;0,3154;0,6103;0,786
1.167847917;-0,3898;0,2985;0,6024;0,777
1.170760938;-0,3982;0,2598;0,6375;0,795
1.174450521;-0,3923;0,2161;0,6948;0,827
1.178222917;-0,3621;0,1901;0,7580;0,861
1.188344792;-0,2998;0,1997;0,8391;0,913
1.189985417;-0,2375;0,2254;0,9072;0,964
1.190582813;-0,1707;0,2569;0,9681;1,016
1.194363021;-0,1014;0,2937;1,0526;1,098
1.205945313;-0,0459;0,3269;1,1342;1,181
1.207835938;0,0022;0,3577;1,2203;1,272
1.2087;0,0483;0,3854;1,3182;1,374
1.2113125;0,0849;0,4048;1,3943;1,454
1.2152125;0,1222;0,4276;1,4700;1,536
1.218936979;0,1634;0,4506;1,5342;1,607
1.222316146;0,2042;0,4630;1,5425;1,623
1.226209375;0,2456;0,5118;1,5718;1,671
1.230444271;0,3181;0,5853;1,6106;1,743
1.235773438;0,3996;0,6279;1,6665;1,825
1.238963021;0,4865;0,6574;1,7082;1,894
1.242032292;0,5706;0,6814;1,7441;1,958
1.245792708;0,6094;0,6949;1,7966;2,020
1.2522125;0,6259;0,6851;1,8683;2,086
1.254075;0,6144;0,6501;1,9768;2,170
1.257788021;0,5759;0,5847;2,0622;2,220
1.261748438;0,5676;0,5548;2,1694;2,310
1.268708854;0,5965;0,5450;2,2709;2,410
1.2696375;0,6296;0,5350;2,3120;2,455
1.273654688;0,6670;0,5167;2,2393;2,393
1.27959375;0,6843;0,4838;2,0599;2,224
1.283907292;0,6326;0,4647;1,9229;2,077
1.2864625;0,5262;0,4602;1,8298;1,959
1.289394792;0,3886;0,4666;1,7431;1,846
1.293484896;0,3057;0,4846;1,6794;1,774
1.298217708;0,2737;0,5078;1,6188;1,719
1.301601563;0,2861;0,5302;1,5339;1,648
1.305502604;0,3102;0,5411;1,4486;1,577
1.309363542;0,3340;0,5569;1,3513;1,499
1.313942708;0,3489;0,5766;1,2766;1,444
1.318924479;0,3604;0,6051;1,2140;1,404
1.322234896;0,3760;0,6412;1,1643;1,381
1.326051563;0,3937;0,6659;1,1391;1,377
1.3295125;0,4067;0,6714;1,1212;1,369
1.335835938;0,4094;0,6565;1,0986;1,344
1.337602604;0,4024;0,6303;1,0729;1,308
1.341077083;0,3862;0,5998;1,0405;1,262
1.344945833;0,3663;0,5592;0,9957;1,199
1.35074375;0,3493;0,5231;0,9521;1,141
1.353317708;0,3288;0,4796;0,9002;1,072
1.359408333;0,3016;0,4245;0,8268;0,977
1.361206771;0,2738;0,3813;0,7721;0,904
1.368553125;0,2416;0,3430;0,7224;0,835
1.370788021;0,2015;0,2973;0,6622;0,753
1.372864583;0,1702;0,2578;0,6175;0,690
1.378807292;0,1377;0,2133;0,5735;0,627
1.385199479;0,0999;0,1582;0,5368;0,568
1.3872125;0,0734;0,1116;0,5166;0,534
1.388920313;0,0472;0,0609;0,5072;0,513
