time;gFx;gFy;gFz;TgF
0.464218229;-0,2609;-0,0220;1,1333;1,163
0.467799479;-0,2536;-0,0096;1,1347;1,163
0.474880208;-0,2444;0,0022;1,1397;1,166
0.476640104;-0,2417;0,0141;1,1469;1,172
0.480242187;-0,2333;0,0246;1,1486;1,172
0.484355208;-0,2237;0,0276;1,1447;1,167
0.487879166;-0,2193;0,0259;1,1470;1,168
0.492594791;-0,2071;0,0220;1,1486;1,167
0.497455208;-0,1941;0,0097;1,1449;1,161
0.499933333;-0,1821;-0,0026;1,1354;1,150
0.503602083;-0,1676;-0,0171;1,1269;1,139
0.507707291;-0,1518;-0,0327;1,1115;1,122
0.514066666;-0,1429;-0,0466;1,0954;1,106
0.516215104;-0,1357;-0,0579;1,0788;1,089
0.519477604;-0,1333;-0,0751;1,0560;1,067
0.523728645;-0,1313;-0,0905;1,0318;1,044
0.527527083;-0,1295;-0,1093;1,0068;1,021
0.53343802;-0,1298;-0,1299;0,9755;0,993
0.536511979;-0,1347;-0,1460;0,9526;0,973
0.53949375;-0,1399;-0,1600;0,9381;0,962
0.543599479;-0,1453;-0,1703;0,9259;0,953
0.548995833;-0,1484;-0,1746;0,9182;0,946
0.552011979;-0,1477;-0,1778;0,9137;0,943
0.55551302;-0,1437;-0,1751;0,9102;0,938
0.559546875;-0,1360;-0,1709;0,9000;0,926
0.563498437;-0,1263;-0,1639;0,8888;0,913
0.567953125;-0,1176;-0,1500;0,8771;0,898
0.57158177;-0,1106;-0,1393;0,8607;0,879
0.575646354;-0,1026;-0,1297;0,8418;0,858
0.579788541;-0,0972;-0,1207;0,8191;0,834
0.582998958;-0,0925;-0,1164;0,8022;0,816
0.587136979;-0,0924;-0,1089;0,7914;0,804
0.5911;-0,0991;-0,1025;0,7834;0,796
0.596455729;-0,1044;-0,0986;0,7796;0,793
0.598927083;-0,1120;-0,0989;0,7793;0,793
0.60313802;-0,1230;-0,1053;0,7775;0,794
0.60896302;-0,1338;-0,1170;0,7757;0,796
0.613359895;-0,1430;-0,1289;0,7771;0,801
0.615283333;-0,1528;-0,1452;0,7833;0,811
0.61873802;-0,1583;-0,1604;0,7907;0,822
0.623017187;-0,1658;-0,1770;0,8006;0,836
0.626973437;-0,1671;-0,1900;0,8052;0,844
0.631546875;-0,1700;-0,2072;0,8134;0,856
0.63463125;-0,1702;-0,2252;0,8257;0,873
0.63895625;-0,1706;-0,2347;0,8361;0,885
0.642696875;-0,1667;-0,2381;0,8401;0,889
0.646829687;-0,1615;-0,2362;0,8429;0,890
0.650905208;-0,1586;-0,2329;0,8492;0,895
0.654507291;-0,1592;-0,2210;0,8609;0,903
0.658280729;-0,1773;-0,1980;0,8826;0,922
0.663303125;-0,1976;-0,1691;0,8989;0,936
0.667528645;-0,2180;-0,1402;0,9097;0,946
0.670864583;-0,2406;-0,1135;0,9135;0,951
0.674508854;-0,2559;-0,0906;0,9114;0,951
0.679007291;-0,2683;-0,0694;0,9071;0,949
0.682640625;-0,2734;-0,0531;0,9040;0,946
0.686355208;-0,2731;-0,0382;0,9016;0,943
0.692446354;-0,2699;-0,0243;0,9043;0,944
0.696967708;-0,2624;-0,0085;0,9182;0,955
0.698934895;-0,2552;0,0025;0,9280;0,962
0.702347395;-0,2489;0,0116;0,9311;0,964
0.706330208;-0,2485;0,0174;0,9267;0,960
0.710343229;-0,2526;0,0238;0,9255;0,960
0.714351041;-0,2567;0,0298;0,9293;0,965
0.722815104;-0,2567;0,0361;0,9329;0,968
0.724852604;-0,2524;0,0362;0,9287;0,963
0.726352083;-0,2486;0,0330;0,9164;0,950
0.731177083;-0,2527;0,0295;0,8944;0,930
0.734763541;-0,2591;0,0264;0,8706;0,909
0.738216145;-0,2684;0,0271;0,8512;0,893
0.747192187;-0,2712;0,0498;0,8299;0,875
0.748748958;-0,2765;0,0655;0,8122;0,861
0.750215104;-0,2838;0,0760;0,7877;0,841
0.754676562;-0,2928;0,0926;0,7568;0,817
0.7578375;-0,3077;0,1017;0,7436;0,811
0.762197916;-0,3295;0,1029;0,7397;0,816
0.765838541;-0,3575;0,0939;0,7372;0,825
0.772521354;-0,3831;0,0832;0,7362;0,834
0.775593229;-0,4086;0,0666;0,7355;0,844
0.779768229;-0,4290;0,0546;0,7372;0,855
0.78148802;-0,4458;0,0418;0,7414;0,866
0.785597395;-0,4558;0,0292;0,7488;0,877
0.789715625;-0,4632;0,0125;0,7387;0,872
0.795692708;-0,4654;-0,0003;0,7123;0,851
0.79745052;-0,4695;-0,0140;0,6681;0,817
0.802180729;-0,4408;-0,0339;0,5857;0,734
0.805463541;-0,4314;-0,0563;0,5347;0,689
0.809745312;-0,4414;-0,0696;0,5439;0,704
0.814184895;-0,3574;-0,0934;0,5047;0,625
0.817397916;-0,3658;-0,1072;0,5417;0,662
0.823801041;-0,3663;-0,1136;0,5914;0,705
0.825292708;-0,3629;-0,1170;0,6494;0,753
0.83027552;-0,3719;-0,1150;0,7003;0,801
0.834215104;-0,3824;-0,1091;0,7418;0,842
0.839294791;-0,3908;-0,1001;0,7731;0,872
0.840932812;-0,4014;-0,0918;0,7926;0,893
0.852458333;-0,4135;-0,0858;0,8140;0,917
0.854592708;-0,4261;-0,0773;0,8355;0,941
0.85605052;-0,4400;-0,0682;0,8653;0,973
0.858052083;-0,4492;-0,0563;0,9026;1,010
0.867680208;-0,4576;-0,0481;0,9317;1,039
0.869878125;-0,4649;-0,0455;0,9500;1,059
0.870473958;-0,4687;-0,0441;0,9659;1,075
0.873510937;-0,4693;-0,0467;0,9861;1,093
0.87911302;-0,4525;-0,0510;0,9964;1,096
0.880955729;-0,4291;-0,0611;0,9920;1,083
0.885279166;-0,4106;-0,0670;1,0008;1,084
0.888855208;-0,3799;-0,0627;0,9983;1,070
0.892719791;-0,3532;-0,0694;0,9759;1,040
0.898748958;-0,3237;-0,0831;0,9443;1,002
0.90044427;-0,2796;-0,0904;0,9046;0,951
0.904730208;-0,2457;-0,0885;0,8834;0,921
0.908592708;-0,2192;-0,0794;0,8708;0,901
0.913959375;-0,2073;-0,0651;0,8630;0,890
0.91678177;-0,2054;-0,0457;0,8586;0,884
0.920640625;-0,2074;-0,0276;0,8613;0,886
0.924802083;-0,2052;-0,0093;0,8701;0,894
0.930716145;-0,2011;0,0139;0,8890;0,912
