time;gFx;gFy;gFz;TgF
0.502783333;0,0214;0,0149;1,0052;1,006
0.504196354;0,0222;0,0156;1,0048;1,005
0.508341667;0,0207;0,0146;1,0045;1,005
0.512371875;0,0205;0,0151;1,0039;1,004
0.516310937;0,0203;0,0143;1,0043;1,005
0.523357812;0,0220;0,0156;1,0048;1,005
0.5247125;0,0217;0,0150;1,0058;1,006
0.528169271;0,0212;0,0157;1,0053;1,006
0.532371354;0,0195;0,0148;1,0064;1,007
0.536274479;0,0206;0,0148;1,0056;1,006
0.540251562;0,0218;0,0155;1,0046;1,005
0.544179687;0,0212;0,0151;1,0055;1,006
0.547806771;0,0211;0,0156;1,0053;1,006
0.553959896;0,0195;0,0146;1,0047;1,005
0.5557625;0,0217;0,0159;1,0055;1,006
0.560256771;0,0217;0,0156;1,0049;1,005
0.568470312;0,0209;0,0154;1,0041;1,004
0.569189583;0,0207;0,0148;1,0061;1,006
0.571505208;0,0205;0,0142;1,0059;1,006
0.576172396;0,0202;0,0135;1,0047;1,005
0.580048437;0,0202;0,0145;1,0047;1,005
0.586507812;0,0221;0,0143;1,0045;1,005
0.587953125;0,0219;0,0142;1,0043;1,005
0.592080729;0,0208;0,0154;1,0069;1,007
0.595750521;0,0227;0,0144;1,0051;1,005
0.599673958;0,0223;0,0148;1,0048;1,005
0.603236979;0,0218;0,0147;1,0065;1,007
0.607639062;0,0216;0,0147;1,0045;1,005
0.611335937;0,0218;0,0156;1,0046;1,005
0.615351041;0,0224;0,0144;1,0049;1,005
0.621566146;0,0225;0,0146;1,0039;1,004
0.623321875;0,0207;0,0156;1,0052;1,006
0.626950521;0,0216;0,0150;1,0055;1,006
0.631598958;0,0218;0,0155;1,0056;1,006
0.6378375;0,0210;0,0146;1,0054;1,006
0.639166666;0,0203;0,0147;1,0056;1,006
0.642932812;0,0223;0,0141;1,0058;1,006
0.646996875;0,0221;0,0148;1,0060;1,006
0.652776562;0,0209;0,0151;1,0046;1,005
0.655095312;0,0210;0,0149;1,0053;1,006
0.658986979;0,0210;0,0155;1,0046;1,005
0.662946354;0,0213;0,0154;1,0059;1,006
0.667939583;0,0202;0,0145;1,0043;1,005
0.671217708;0,0204;0,0159;1,0045;1,005
0.674616146;0,0222;0,0155;1,0041;1,004
0.679247916;0,0216;0,0160;1,0057;1,006
0.684844271;0,0213;0,0155;1,0066;1,007
0.688225521;0,0217;0,0150;1,0059;1,006
0.690746354;0,0215;0,0153;1,0064;1,007
0.694969271;0,0214;0,0140;1,0040;1,004
0.699016146;0,0213;0,0149;1,0048;1,005
0.703246875;0,0204;0,0157;1,0050;1,005
0.706733333;0,0209;0,0151;1,0046;1,005
0.712480729;0,0213;0,0151;1,0047;1,005
0.714617708;0,0213;0,0142;1,0049;1,005
0.718764583;0,0208;0,0139;1,0048;1,005
0.722459896;0,0212;0,0145;1,0048;1,005
0.727385416;0,0211;0,0145;1,0048;1,005
0.730686458;0,0198;0,0146;1,0053;1,006
0.735364062;0,0209;0,0142;1,0053;1,006
0.738318229;0,0222;0,0140;1,0052;1,006
0.742381771;0,0200;0,0142;1,0064;1,007
0.746689583;0,0221;0,0150;1,0061;1,006
0.751622916;0,0216;0,0142;1,0056;1,006
0.753695312;0,0210;0,0141;1,0050;1,005
0.758389062;0,0206;0,0140;1,0062;1,006
0.763048437;0,0198;0,0143;1,0053;1,006
0.768454687;0,0211;0,0142;1,0056;1,006
0.770557291;0,0210;0,0150;1,0056;1,006
0.774451562;0,0192;0,0140;1,0057;1,006
0.778409375;0,0207;0,0133;1,0060;1,006
0.782497916;0,0214;0,0142;1,0053;1,006
0.78761875;0,0210;0,0136;1,0052;1,006
0.792278125;0,0202;0,0151;1,0063;1,007
0.794786458;0,0208;0,0151;1,0056;1,006
0.798878646;0,0203;0,0145;1,0044;1,005
0.804434375;0,0207;0,0151;1,0051;1,005
0.806239062;0,0208;0,0145;1,0054;1,006
0.811228125;0,0201;0,0165;1,0061;1,006
0.819254166;0,0198;0,0159;1,0049;1,005
0.820328125;0,0201;0,0146;1,0056;1,006
0.827541666;0,0205;0,0153;1,0053;1,006
0.8281;0,0213;0,0137;1,0050;1,005
0.82989375;0,0199;0,0144;1,0049;1,005
0.834540625;0,0194;0,0158;1,0058;1,006
0.837916666;0,0202;0,0155;1,0056;1,006
0.841682812;0,0206;0,0141;1,0062;1,006
0.8457;0,0210;0,0144;1,0059;1,006
0.851270312;0,0217;0,0148;1,0060;1,006
0.853994271;0,0235;0,0141;1,0055;1,006
0.857795833;0,0231;0,0141;1,0050;1,005
0.861858854;0,0216;0,0152;1,0070;1,007
0.865951041;0,0213;0,0136;1,0066;1,007
0.870890104;0,0203;0,0152;1,0063;1,007
0.874030208;0,0206;0,0146;1,0055;1,006
0.877569271;0,0218;0,0150;1,0048;1,005
0.882313541;0,0211;0,0139;1,0056;1,006
0.886286979;0,0211;0,0143;1,0055;1,006
0.88978125;0,0210;0,0153;1,0037;1,004
0.893814583;0,0203;0,0125;1,0052;1,005
0.897840104;0,0215;0,0157;1,0058;1,006
0.903074479;0,0214;0,0134;1,0062;1,006
0.907553646;0,0218;0,0138;1,0044;1,005
0.909423958;0,0220;0,0149;1,0042;1,005
0.9133625;0,0201;0,0153;1,0056;1,006
0.919313541;0,0208;0,0163;1,0046;1,005
0.921323958;0,0208;0,0154;1,0046;1,005
0.925618229;0,0216;0,0151;1,0052;1,006
0.929578646;0,0220;0,0164;1,0058;1,006
